Query ID,Industry,User Intent,Search Type,Query Category,User Query,Funnel Stage,Priority,Status,Last Tested,Research Notes
SAAS001,SaaS,Brand Discovery,Best,CRM,best crm software,Awareness,High,Not Started,,
SAAS002,SaaS,Brand Discovery,Best,CRM,best crm for startups,Awareness,High,Not Started,,
SAAS003,SaaS,Brand Discovery,Best,CRM,best crm for small business,Awareness,High,Not Started,,
SAAS004,SaaS,Brand Discovery,Best,CRM,best crm platform,Awareness,High,Not Started,,
SAAS005,SaaS,Brand Discovery,Recommendation,CRM,which crm should i use,Awareness,High,Not Started,,
SAAS006,SaaS,Brand Discovery,Recommendation,CRM,recommend a crm for startups,Awareness,High,Not Started,,
SAAS007,SaaS,Brand Discovery,Best,Project Management,best project management software,Awareness,High,Not Started,,
SAAS008,SaaS,Brand Discovery,Best,Email Marketing,best email marketing software,Awareness,High,Not Started,,
SAAS009,SaaS,Brand Discovery,Best,Accounting,best accounting software for startups,Awareness,High,Not Started,,
SAAS010,SaaS,Brand Discovery,Best,Help Desk,best help desk software,Awareness,High,Not Started,,
SAAS011,SaaS,Brand Discovery,Best,Marketing Automation,best marketing automation software,Awareness,High,Not Started,,
SAAS012,SaaS,Brand Discovery,Best,SEO,best seo software,Awareness,High,Not Started,,
SAAS013,SaaS,Brand Discovery,Best,Analytics,best web analytics software,Awareness,High,Not Started,,
SAAS014,SaaS,Brand Discovery,Best,AI,best ai tools for business,Awareness,High,Not Started,,
SAAS015,SaaS,Brand Discovery,Best,HR,best hr software,Awareness,High,Not Started,,
SAAS016,SaaS,Brand Discovery,Best,Payroll,best payroll software,Awareness,High,Not Started,,
SAAS017,SaaS,Brand Discovery,Best,Customer Support,best customer support software,Awareness,High,Not Started,,
SAAS018,SaaS,Brand Discovery,Best,Sales,best sales software,Awareness,High,Not Started,,
SAAS019,SaaS,Brand Discovery,Best,Knowledge Base,best knowledge base software,Awareness,High,Not Started,,
SAAS020,SaaS,Brand Discovery,Recommendation,SaaS,best software for growing business,Awareness,High,Not Started,,
SAAS021,SaaS,Brand Discovery,Recommendation,SaaS,software every startup should use,Awareness,High,Not Started,,
SAAS022,SaaS,Brand Discovery,Recommendation,SaaS,must have software for startups,Awareness,High,Not Started,,
SAAS023,SaaS,Brand Discovery,Best,SaaS,top saas tools for startups,Awareness,High,Not Started,,
SAAS024,SaaS,Brand Discovery,Recommendation,SaaS,business software recommendations,Awareness,High,Not Started,,
SAAS025,SaaS,Brand Discovery,Recommendation,SaaS,best software stack for startups,Awareness,High,Not Started,,
SAAS026,SaaS,Brand Comparison,Compare,CRM,hubspot vs salesforce,Consideration,High,Not Started,,
SAAS027,SaaS,Brand Comparison,Compare,CRM,hubspot vs zoho crm,Consideration,High,Not Started,,
SAAS028,SaaS,Brand Comparison,Compare,CRM,pipedrive vs hubspot,Consideration,High,Not Started,,
SAAS029,SaaS,Brand Comparison,Compare,CRM,salesforce vs zoho crm,Consideration,High,Not Started,,
SAAS030,SaaS,Brand Comparison,Compare,CRM,freshsales vs hubspot,Consideration,High,Not Started,,
SAAS031,SaaS,Brand Comparison,Compare,Project Management,asana vs clickup,Consideration,High,Not Started,,
SAAS032,SaaS,Brand Comparison,Compare,Project Management,clickup vs monday,Consideration,High,Not Started,,
SAAS033,SaaS,Brand Comparison,Compare,Project Management,jira vs clickup,Consideration,High,Not Started,,
SAAS034,SaaS,Brand Comparison,Compare,Email Marketing,mailchimp vs convertkit,Consideration,High,Not Started,,
SAAS035,SaaS,Brand Comparison,Compare,Email Marketing,mailchimp vs brevo,Consideration,High,Not Started,,
SAAS036,SaaS,Brand Comparison,Compare,SEO,semrush vs ahrefs,Consideration,High,Not Started,,
SAAS037,SaaS,Brand Comparison,Compare,SEO,ahrefs vs moz,Consideration,High,Not Started,,
SAAS038,SaaS,Brand Comparison,Compare,SEO,semrush vs mangools,Consideration,High,Not Started,,
SAAS039,SaaS,Brand Comparison,Compare,AI,chatgpt vs claude,Consideration,High,Not Started,,
SAAS040,SaaS,Brand Comparison,Compare,AI,chatgpt vs gemini,Consideration,High,Not Started,,
SAAS041,SaaS,Brand Comparison,Compare,AI,claude vs gemini,Consideration,High,Not Started,,
SAAS042,SaaS,Brand Comparison,Compare,Help Desk,zendesk vs freshdesk,Consideration,High,Not Started,,
SAAS043,SaaS,Brand Comparison,Compare,Accounting,quickbooks vs xero,Consideration,High,Not Started,,
SAAS044,SaaS,Brand Comparison,Compare,Payroll,gusto vs rippling,Consideration,High,Not Started,,
SAAS045,SaaS,Brand Comparison,Compare,HR,bamboohr vs rippling,Consideration,High,Not Started,,
